bookId,title,author,publisher,description,keywords,rack,year
1, Linear Algebra and Differential Equations,William F. Trench,Pearson,"This book provides a comprehensive introduction to linear algebra and its applications to differential equations. It includes theoretical foundations as well as practical applications, emphasizing problem-solving techniques. The text features numerous examples and exercises to enhance understanding, making it suitable for students at various levels.","Linear Algebra, Differential Equations, Mathematics, Higher Education, Problem Solving, Theoretical Foundations, Applications.",rack1,firstyear
2, Engineering Chemistry," Jain, P.C. and Jain, Monika",McGraw-Hill Education,"This book provides a thorough overview of the principles of chemistry as they apply to engineering. It covers various topics, including chemical bonding, thermodynamics, kinetics, and materials science, with a focus on real-world applications in engineering. The text is designed to help students understand the chemical processes that underpin engineering practices."," Engineering Chemistry, Chemical Principles, Materials Science, Thermodynamics, Kinetics, Engineering Education, Applied Chemistry.",rack1,firstyear
3,ENGLISH FOR PROFESSIONAL ENHANCEMENT, John M. Swales and Christine B. Feak, Cambridge University Press,"This book is designed to help professionals and students improve their English communication skills in professional and academic settings. It covers essential topics such as effective writing, presentations, and workplace communication, providing practical exercises and examples to enhance language proficiency and confidence."," Professional English, Academic English, Communication Skills, Business Writing, Presentation Skills, Language Enhancement, Professional Development.",rack1,firstyear
4,ENGINEERING WORKSHOP, W.J. P. B. W. M. Bhattacharyya,Tata McGraw-Hill,"This book provides an in-depth exploration of workshop technology, covering essential topics such as machining processes, welding, fitting, and fabrication. It is designed for engineering students and professionals, offering practical insights and techniques for effective workshop practice. The text includes illustrations, examples, and exercises to reinforce learning and application in real-world settings."," Engineering Workshop, Workshop Technology, Machining Processes, Welding, Fabrication, Practical Skills, Engineering Education.",rack1,firstyear
5,PROGRAMMING IN C FOR PROBLEM SOLVING, D.S. Malik, Cengage Learning,"This book introduces the fundamentals of programming in C, emphasizing problem-solving and design techniques. It covers basic programming concepts, data structures, and algorithm design, providing numerous examples and exercises to enhance understanding. The text is suitable for beginners and those looking to strengthen their programming skills through practical applications.","C Programming, Problem Solving, Algorithm Design, Data Structures, Programming Fundamentals, Software Development, Education",rack1,firstyear
6,HONE YOUR COMMUNICATION SKILLS LAB-I,S. J. K. Ghosh,Tata McGraw-Hill,"This book is designed to enhance communication skills through practical exercises and activities. It covers various aspects of communication, including verbal and non-verbal skills, presentation techniques, and group discussions. Ideal for students and professionals, the text provides a hands-on approach to developing effective communication in academic and workplace settings.","Communication Skills, Practical Exercises, Verbal Communication, Non-Verbal Communication, Presentation Skills, Group Discussions, Professional Development.",rack1,firstyear
7,ENGINEERING CHEMISTRY LAB, A. G. Shende, Prentice Hall,"This lab manual provides a comprehensive collection of experiments and practical exercises in engineering chemistry. It covers essential techniques and methodologies for conducting experiments in various areas of chemistry, including analytical chemistry, materials science, and environmental chemistry. The manual emphasizes safety, proper lab practices, and the importance of data analysis and interpretation."," Engineering Chemistry, Lab Manual, Practical Experiments, Analytical Chemistry, Materials Science, Environmental Chemistry, Laboratory Techniques.",rack1,firstyear
8,PROGRAMMING LAB IN C FOR PROBLEM SOLVING, R.S. Salaria,Kalyani Publishers,"This book provides a hands-on approach to learning C programming through practical labs and problem-solving exercises. It covers fundamental concepts, programming constructs, and data structures, with a focus on real-world applications. The text includes numerous lab exercises and examples to help students develop their coding skills and enhance their understanding of programming logic."," C Programming, Problem Solving, Programming Lab, Data Structures, Practical Exercises, Software Development, Education.",rack1,firstyear
9, Numerical Methods and Vector Calculus: An Integrated Approach, Dr. Emily Chen, Academic Press,"This project dataset explores the interplay between numerical methods and vector calculus, providing a comprehensive overview of techniques used for solving complex mathematical problems. It includes detailed case studies, algorithm implementations, and applications in engineering and physics. The dataset serves as a resource for students and researchers aiming to enhance their understanding of numerical analysis and vector fields.","Numerical methods, vector calculus, mathematical modeling, algorithms, engineering applications, case studies, computational mathematics, data analysis.",rack1,firstyear
10,Engineering Physics: Principles and Applications,  Dr. Sarah Patel, McGraw-Hill Education,"This comprehensive textbook covers the fundamental concepts of engineering physics, integrating theoretical knowledge with practical applications. It addresses key areas such as wave mechanics, quantum physics, thermodynamics, and optics, while emphasizing real-world engineering scenarios. Each chapter includes examples, problem sets, and experimental projects to facilitate hands-on learning for engineering students.","Engineering physics, wave mechanics, quantum physics, thermodynamics, optics, applied physics, problem-solving, experimental projects.


",rack1,firstyear
